player_name,primary_tour,dg_rank,dg_change,owgr_rank,owgr_change,dg_index
"Leishman, Marc",LIV Tour,101,28,473,-12,0.3
"Bjork, Alexander",PGA TOUR,102,16,97,1,0.269
"Fowler, Rickie",PGA TOUR,103,0,37,-3,0.264
"Smith, Jordan",DP World Tour,104,3,92,0,0.262
"Rodgers, Patrick",PGA TOUR,105,-13,86,-1,0.252
"Paul, Yannik",DP World Tour,106,4,122,-1,0.249
"Berger, Daniel",PGA TOUR,107,4,9999,0,0.248
"Lawrence, Thriston",DP World Tour,108,4,94,-1,0.231
"Ryder, Sam",PGA TOUR,109,-28,102,1,0.228
"Stenson, Henrik",LIV Tour,110,-2,320,-8,0.226
"Pereira, Mito",LIV Tour,111,-7,175,-5,0.218
"Lower, Justin",PGA TOUR,112,22,150,7,0.211
"Hadley, Chesson",PGA TOUR,113,1,167,-2,0.209
"Kanaya, Takumi",Other Tours,114,2,105,3,0.205
"Lee, Kyounghoon",PGA TOUR,115,-15,89,0,0.188
"Bramlett, Joseph",PGA TOUR,116,-1,199,-3,0.178
"Wallace, Matt",PGA TOUR,117,3,95,-1,0.176
"Bridgeman, Jacob",PGA TOUR,118,1,194,-7,0.174
"Stricker, Steve",PGA TOUR Champions,119,3,9999,0,0.158
"Martin, Ben",PGA TOUR,120,42,178,58,0.155
"Malnati, Peter",PGA TOUR,121,2,69,-2,0.154
"Svensson, Adam",PGA TOUR,122,6,78,-1,0.15
"Sigg, Greyson",PGA TOUR,123,-10,183,-4,0.142
"Schmid, Matthias",PGA TOUR,124,-3,124,1,0.14
"Kim, Chan",PGA TOUR,125,25,107,13,0.14
"Spaun, J.J.",PGA TOUR,126,4,138,2,0.137
"Greyserman, Max",Korn Ferry Tour,127,-21,137,0,0.129
"Woodland, Gary",PGA TOUR,128,-3,135,-1,0.129
"Kim, Michael",PGA TOUR,129,-5,114,-3,0.116
"Kim, Seonghyeon",PGA TOUR,130,27,125,7,0.102
"Munoz, Sebastian",LIV Tour,131,4,9999,0,0.097
"Power, Seamus",PGA TOUR,132,-15,113,-7,0.095
"Rozner, Antoine",DP World Tour,133,-1,141,-2,0.095
"Yu, Kevin",PGA TOUR,134,14,109,6,0.092
"Ferguson, Ewen",DP World Tour,135,1,132,-4,0.085
"Uihlein, Peter",LIV Tour,136,10,9999,0,0.082
"Laird, Martin",PGA TOUR,137,3,153,2,0.08
"Novak, Andrew",PGA TOUR,138,-1,151,-1,0.078
"Varner III, Harold",LIV Tour,139,5,486,-20,0.071
"Kuchar, Matt",PGA TOUR,140,-7,96,0,0.069
"Wu, Dylan",PGA TOUR,141,-3,154,-3,0.068
"Herbert, Lucas",PGA TOUR,142,-55,82,0,0.058
"Fox, Ryan",PGA TOUR,143,-17,54,-5,0.051
"Pendrith, Taylor",PGA TOUR,144,-17,103,-3,0.047
"Stevens, Samuel",PGA TOUR,145,27,127,8,0.045
"Steele, Brendan",LIV Tour,146,8,9999,0,0.038
"Syme, Connor",DP World Tour,147,-6,144,-1,0.038
"Simpson, Webb",PGA TOUR,148,4,221,11,0.034
"Moore, Ryan",PGA TOUR,149,4,157,3,0.029
"Baddeley, Aaron",PGA TOUR,150,10,191,13,0.027
"Phillips, Chandler",PGA TOUR,151,-12,115,-1,0.023
"Mckibbin, Tom",DP World Tour,152,-10,142,0,0.02
"Meissner, Mac",Korn Ferry Tour,153,27,218,76,0.017
"Dunlap, Nick",Amateur Events,154,-11,70,-1,0.016
"Ramey, Chad",PGA TOUR,155,-8,231,-1,0.007
"Valimaki, Sami",PGA TOUR,156,-7,84,-1,-0.002
"Na, Kevin",LIV Tour,157,2,9999,0,-0.025
"Silverman, Ben",PGA TOUR,158,-27,128,-1,-0.028
"Pan, C.T.",PGA TOUR,159,4,131,2,-0.03
"Hardy, Nick",PGA TOUR,160,26,172,13,-0.047
"Highsmith, Joe",PGA TOUR,161,7,160,7,-0.051
"Stanger, Jimmy",PGA TOUR,162,-17,161,-2,-0.054
"Duncan, Tyler",PGA TOUR,163,6,152,0,-0.061
"Roy, Kevin",PGA TOUR,164,23,256,28,-0.064
"Higgo, Garrick",PGA TOUR,165,20,176,8,-0.066
"Young, Carson",PGA TOUR,166,-8,168,1,-0.075
"Gotterup, Chris",PGA TOUR,167,-16,274,-10,-0.084
"Stallings, Scott",PGA TOUR,168,-4,139,-1,-0.085
"Suh, Justin",PGA TOUR,169,-4,101,-2,-0.087
"Mansell, Richard",DP World Tour,170,-4,174,-2,-0.094
"Hoffman, Charley",PGA TOUR,171,0,110,0,-0.112
"Hall, Harry",PGA TOUR,172,5,179,-3,-0.118
"Canter, Laurie",DP World Tour,173,0,226,-8,-0.127
"Johnson, Zach",PGA TOUR,174,1,249,-5,-0.129
"Surratt, Caleb",Amateur Events,175,21,9999,0,-0.134
"Campillo, Jorge",DP World Tour,176,-6,121,-2,-0.146
"Lahiri, Anirban",LIV Tour,177,-10,431,-18,-0.149
"Lombard, Zander",DP World Tour,178,-23,106,-1,-0.153
"Grace, Branden",LIV Tour,179,-5,9999,0,-0.159
"Jones, Matt",LIV Tour,180,-4,493,-20,-0.161
"Dahmen, Joel",PGA TOUR,181,-20,158,-9,-0.174
"Cink, Stewart",PGA TOUR,182,28,276,14,-0.175
"LaCroix, Frederic",DP World Tour,183,-2,207,-2,-0.184
"Svensson, Jesper",DP World Tour,184,-1,104,0,-0.185
"Siem, Marcel",DP World Tour,185,-1,171,0,-0.186
"Vegas, Jhonattan",PGA TOUR,186,-8,443,-8,-0.192
"Wu, Brandon",PGA TOUR,187,-5,146,-1,-0.195
"Wolff, Matthew",LIV Tour,188,73,9999,0,-0.195
"Streelman, Kevin",PGA TOUR,189,24,177,3,-0.198
"Langasque, Romain",DP World Tour,190,-1,143,1,-0.201
"Reavie, Chez",PGA TOUR,191,35,136,5,-0.211
"Coody, Parker",PGA TOUR,192,13,184,2,-0.212
"Veerman, Johannes",DP World Tour,193,-2,267,-7,-0.212
"Winther, Jeff",DP World Tour,194,-2,186,-3,-0.216
"Poulter, Ian",LIV Tour,195,-2,481,-11,-0.218
"Whaley, Vince",PGA TOUR,196,8,215,5,-0.231
"Fitzpatrick, Alex",DP World Tour,197,0,147,-1,-0.235
"Sullivan, Andy",DP World Tour,198,1,230,-4,-0.241
"Murray, Grayson",PGA TOUR,199,-4,59,-5,-0.242
"Bairstow, Sam",DP World Tour,200,0,197,0,-0.246
"Wiesberger, Bernd",DP World Tour,201,1,462,-10,-0.247
"Watson, Bubba",LIV Tour,202,-8,9999,0,-0.25
"NeSmith, Matthew",PGA TOUR,203,-47,187,-6,-0.251
"Norrman, Vincent",PGA TOUR,204,25,99,2,-0.259
"Barnes, Erik",PGA TOUR,205,6,193,-2,-0.274
"Lindheim, Nicholas",PGA TOUR,206,-18,192,-2,-0.275
"Vincent, Scott",LIV Tour,207,23,9999,0,-0.277
"Song, Younghan",Other Tours,208,-1,243,-4,-0.279
"Semikawa, Taiga",Other Tours,209,0,149,-1,-0.284
"Shelton, Robby",PGA TOUR,210,42,170,4,-0.285
"Luiten, Joost",DP World Tour,211,1,134,-4,-0.286
"Widing, Tim",Korn Ferry Tour,212,-9,329,-1,-0.298
"Cummins, Quade",Korn Ferry Tour,213,-23,321,-3,-0.299
"Hoshino, Rikuya",DP World Tour,214,1,88,0,-0.305
"Hoey, Rico",PGA TOUR,215,52,145,21,-0.307
"Griffin, Lanto",PGA TOUR,216,24,312,13,-0.308
"Thorbjornsen, Michael",Amateur Events,217,-1,9999,0,-0.309
