player_name,primary_tour,dg_rank,dg_change,dg_index,owgr_rank,owgr_change,dg_points_rank,dg_points_change
"Power, Seamus",PGA Tour,91,-21,0.381,120,-3,null,0
"Ghim, Doug",PGA Tour,92,20,0.364,105,4,null,0
"Eckroat, Austin",PGA Tour,93,0,0.354,54,0,null,0
"Putnam, Andrew",PGA Tour,94,-6,0.347,153,-11,null,0
"Fishburn, Patrick",PGA Tour,95,26,0.34,102,17,null,0
"Rose, Justin",PGA Tour,96,0,0.329,39,-1,null,0
"McGreevy, Max",PGA Tour,97,-13,0.325,75,-1,null,0
"Hojgaard, Rasmus",DP World Tour,98,0,0.319,55,0,null,0
"Kim, Chan",PGA Tour,99,24,0.315,134,38,null,0
"Nakajima, Keita",DP World Tour,100,-1,0.309,104,-4,null,0
"Ryder, Sam",PGA Tour,101,6,0.309,148,6,null,0
"Kitayama, Kurt",PGA Tour,102,-21,0.306,107,-4,null,0
"Svensson, Jesper",PGA Tour,103,8,0.3,108,0,null,0
"Fitzpatrick, Matt",PGA Tour,104,-19,0.298,74,-4,null,0
"Fowler, Rickie",PGA Tour,105,10,0.297,112,-2,null,0
"Hisatsune, Ryo",PGA Tour,106,23,0.291,88,3,null,0
"McCarty, Matt",PGA Tour,107,2,0.286,56,1,null,0
"Norlander, Henrik",PGA Tour,108,19,0.28,173,14,null,0
"Hoey, Rico",PGA Tour,109,-4,0.278,122,-1,null,0
"Wallace, Matt",PGA Tour,110,9,0.273,84,1,null,0
"Echavarria, Nico",PGA Tour,111,-1,0.268,48,-2,null,0
"Fox, Ryan",PGA Tour,112,-23,0.245,106,-4,null,0
"Uihlein, Peter",LIV Golf,113,4,0.231,154,-3,null,0
"Perez, Victor",PGA Tour,114,-14,0.225,100,-4,null,0
"Meissner, Mac",PGA Tour,115,-1,0.217,158,-2,null,0
"Hossler, Beau",PGA Tour,116,-13,0.212,90,-3,null,0
"Kirk, Chris",PGA Tour,117,-9,0.207,73,0,null,0
"Cummins, Quade",PGA Tour,118,7,0.193,237,18,null,0
"Lower, Justin",PGA Tour,119,-6,0.185,91,-2,null,0
"Schwartzel, Charl",LIV Golf,120,50,0.182,426,-6,null,0
"Young, Cameron",PGA Tour,121,18,0.178,59,0,null,0
"Hojgaard, Nicolai",PGA Tour,122,-4,0.176,82,-3,null,0
"Knapp, Jake",PGA Tour,123,-19,0.174,86,-4,null,0
"Smith, Jordan",DP World Tour,124,-4,0.169,123,-1,null,0
"Keefer, Johnny",Korn Ferry Tour,125,7,0.165,157,14,null,0
"Jordan, Matthew",DP World Tour,126,-4,0.153,124,1,null,0
"Norris, Shaun",Other Tours,127,1,0.123,97,-2,null,0
"Norgaard, Niklas",DP World Tour,128,-12,0.117,103,-4,null,0
"Dahmen, Joel",PGA Tour,129,-5,0.115,175,-1,null,0
"Hoffman, Charley",PGA Tour,130,0,0.114,114,-8,null,0
"Saddier, Adrien",DP World Tour,131,2,0.111,180,-2,null,0
"Campbell, Brian",Korn Ferry Tour,132,2,0.108,113,-2,null,0
"Davis, Cam",PGA Tour,133,2,0.1,58,0,null,0
"Phillips, Chandler",PGA Tour,134,23,0.097,152,10,null,0
"Johnson, Zach",PGA Tour,135,27,0.086,289,44,null,0
"Roy, Kevin",PGA Tour,136,5,0.082,192,10,null,0
"Bland, Richard",LIV Golf,137,-36,0.081,null,0,null,0
"Fisk, Steven",PGA Tour,138,8,0.073,161,-1,null,0
"Luiten, Joost",DP World Tour,139,-2,0.071,202,-3,null,0
"Salinda, Isaiah",PGA Tour,140,-9,0.065,164,-6,null,0
"Grillo, Emiliano",PGA Tour,141,28,0.063,138,0,null,0
"Hadwin, Adam",PGA Tour,142,-4,0.059,83,-2,null,0
"Lahiri, Anirban",LIV Golf,143,11,0.039,null,0,null,0
"Springer, Hayden",PGA Tour,144,-4,0.032,133,-2,null,0
"Valimaki, Sami",PGA Tour,145,37,0.019,110,10,null,0
"Manassero, Matteo",PGA Tour,146,-3,0.002,121,-3,null,0
"Parry, John",DP World Tour,147,-3,-0.001,101,-3,null,0
"Dunlap, Nick",PGA Tour,148,-3,-0.002,42,-1,null,0
"Vegas, Jhonattan",PGA Tour,149,-2,-0.006,67,-2,null,0
"Kruyswijk, Jacques",DP World Tour,150,-2,-0.007,177,0,null,0
"Kanaya, Takumi",PGA Tour,151,-1,-0.011,182,-1,null,0
"Stone, Brandon",DP World Tour,152,-3,-0.011,240,-1,null,0
"Whaley, Vince",PGA Tour,153,-11,-0.016,149,-3,null,0
"Van Rooyen, Erik",PGA Tour,154,-18,-0.016,93,-3,null,0
"Schmid, Matti",PGA Tour,155,-29,-0.034,119,-3,null,0
"Young, Carson",PGA Tour,156,15,-0.039,155,0,null,0
"Castillo, Ricky",PGA Tour,157,-2,-0.043,230,-5,null,0
"Sigg, Greyson",PGA Tour,158,-5,-0.051,181,-1,null,0
"Chacarra, Eugenio",Other Tours,159,-3,-0.052,168,0,null,0
"Johnson, Dustin",LIV Golf,160,-2,-0.058,null,0,null,0
"Soderberg, Sebastian",DP World Tour,161,2,-0.068,137,-4,null,0
"Van Tonder, Daniel",Other Tours,162,2,-0.069,146,1,null,0
"Pan, C.T.",PGA Tour,163,4,-0.073,141,-4,null,0
"Guerrier, Julien",DP World Tour,164,4,-0.073,136,-4,null,0
"Coody, Pierceson",PGA Tour,165,-5,-0.08,179,0,null,0
"Meronk, Adrian",LIV Golf,166,-15,-0.083,200,-8,null,0
"Gooch, Talor",LIV Golf,167,27,-0.094,null,0,null,0
"Varner III, Harold",LIV Golf,168,34,-0.096,null,0,null,0
"Docherty, Alistair",Korn Ferry Tour,169,-17,-0.102,234,-4,null,0
"Hirata, Kensei",Other Tours,170,3,-0.107,115,-1,null,0
"Ramey, Chad",PGA Tour,171,49,-0.117,226,73,null,0
"Pieters, Thomas",LIV Golf,172,-13,-0.121,442,-10,null,0
"Robinson-Thompson, Brandon",DP World Tour,173,1,-0.126,197,-1,null,0
"Li, Haotong",DP World Tour,174,2,-0.133,150,-1,null,0
"Svensson, Adam",PGA Tour,175,14,-0.145,163,1,null,0
