player_name,primary_tour,dg_rank,dg_change,dg_index,owgr_rank,owgr_change,dg_points_rank,dg_points_change
"Xiong, Norman",PGA Tour,383,-2,-0.853,377,-2,null,0
"Micheluzzi, David",DP World Tour,384,-1,-0.857,208,3,null,0
"Andersen, Mason",PGA Tour,385,6,-0.859,366,-4,null,0
"Hitt, Austin",Korn Ferry Tour,386,42,-0.859,428,28,null,0
"Westmoreland, Kyle",Korn Ferry Tour,387,-38,-0.859,268,-8,null,0
"Kinhult, Marcus",DP World Tour,388,-3,-0.86,278,-3,null,0
"Scott, Sandy",Korn Ferry Tour,389,-18,-0.863,434,6,null,0
"Thornberry, Braden",Korn Ferry Tour,390,-1,-0.865,288,-5,null,0
"Von Dellingshausen, Nicolai",DP World Tour,391,-4,-0.865,412,-3,null,0
"Hadley, Chesson",PGA Tour,392,-4,-0.867,353,-6,null,0
"Song, Younghan",Other Tours,393,34,-0.879,359,-7,null,0
"Poulter, Ian",LIV Golf,394,10,-0.884,null,0,null,0
"Bradbury, Dan",DP World Tour,395,-3,-0.886,199,-1,null,0
"Luck, Curtis",Korn Ferry Tour,396,0,-0.89,347,-6,null,0
"Pulkkanen, Tapio",DP World Tour,397,0,-0.89,382,-3,null,0
"Rutherford, Jamie",Challenge Tour,398,0,-0.89,308,-6,null,0
"Nemecz, Lukas",DP World Tour,399,1,-0.899,394,0,null,0
"Brown, Hamish",Challenge Tour,400,1,-0.899,256,-3,null,0
"Diaz, Roberto",Korn Ferry Tour,401,19,-0.9,null,0,null,0
"Harrington, Padraig",PGA TOUR Champions,402,-20,-0.901,420,-8,null,0
"Ortiz, Alvaro",Korn Ferry Tour,403,-51,-0.902,402,-7,null,0
"Hahn, James",PGA Tour,404,1,-0.904,null,0,null,0
"McAllister, Logan",Korn Ferry Tour,405,20,-0.912,305,-6,null,0
"Lindheim, Nicholas",PGA Tour,406,3,-0.919,null,0,null,0
"Dougherty, Kevin",PGA Tour,407,-1,-0.923,null,0,null,0
"Stanger, Jimmy",PGA Tour,408,2,-0.925,399,-10,null,0
"Anderson, Matthew",Other Tours,409,-16,-0.926,323,-3,null,0
"Pepperell, Eddie",DP World Tour,410,1,-0.927,424,-7,null,0
"Rottluff, Max",DP World Tour,411,1,-0.928,446,-9,null,0
"McDowell, Graeme",LIV Golf,412,-38,-0.928,null,0,null,0
"Southgate, Matthew",DP World Tour,413,0,-0.93,360,-6,null,0
"Alexander, Tyson",PGA Tour,414,-15,-0.931,429,-6,null,0
"Skinns, David",PGA Tour,415,-7,-0.939,299,-12,null,0
"McGirt, William",PGA Tour,416,-32,-0.942,null,0,null,0
"Aphibarnrat, Kiradech",DP World Tour,417,-3,-0.942,317,-7,null,0
"Reitan, Kristoffer",DP World Tour,418,-3,-0.942,379,-2,null,0
"Aiken, Thomas",DP World Tour,419,-3,-0.943,415,-4,null,0
"Snyman, Ian",Other Tours,420,-2,-0.945,390,1,null,0
"Lee, Junghwan",Other Tours,421,-2,-0.945,396,-4,null,0
"Shore, Davis",Korn Ferry Tour,422,-15,-0.949,320,-12,null,0
"Wiesberger, Bernd",DP World Tour,423,-2,-0.953,245,-1,null,0
"Ravetto, David",DP World Tour,424,-2,-0.954,196,-2,null,0
"Horikawa, Mikumu",Other Tours,425,-2,-0.955,441,-8,null,0
"Els, Ernie",PGA TOUR Champions,426,0,-0.967,null,0,null,0
"Ballester, Jose Luis",Amateur Events,427,2,-0.972,null,0,null,0
"Vrzich, Joey",Other Tours,428,5,-0.977,null,0,null,0
"Stout, Preston",Amateur Events,429,0,-0.997,null,0,null,0
"Blaum, Ryan",Korn Ferry Tour,430,14,-0.999,486,3,null,0
"Shinkwin, Callum",DP World Tour,431,1,-1.006,489,-10,null,0
"Kaymer, Martin",LIV Golf,432,16,-1.009,null,0,null,0
"De Leo, Gregorio",Challenge Tour,433,2,-1.013,null,0,null,0
"Bateman, Wil",Korn Ferry Tour,434,2,-1.018,null,0,null,0
"Kim, Minkyu",Other Tours,435,2,-1.019,258,-1,null,0
"Steelman, Ross",Korn Ferry Tour,436,-19,-1.023,418,-2,null,0
"Wilson, Andrew",DP World Tour,437,2,-1.024,422,-4,null,0
"Brown, Blades",Amateur Events,438,23,-1.029,null,0,null,0
"Kim, Hanbyeol",Other Tours,439,2,-1.031,null,0,null,0
"Sloan, Roger",PGA Tour,440,12,-1.035,414,-6,null,0
"Robertson, Graeme",Other Tours,441,2,-1.047,null,0,null,0
"Gandon, Jeremy",Other Tours,442,0,-1.047,246,0,null,0
"Celli, Filippo",DP World Tour,443,2,-1.054,470,-7,null,0
"Naidoo, Dylan",Other Tours,444,2,-1.058,248,-2,null,0
"Campos, Rafael",PGA Tour,445,55,-1.061,194,7,null,0
"Harkins, Brandon",Korn Ferry Tour,446,-4,-1.062,null,0,null,0
"Mazzoli, Stefano",Other Tours,447,0,-1.062,412,-2,null,0
"Welch, Patrick",Korn Ferry Tour,448,1,-1.064,null,0,null,0
"Maguire, Jack",Korn Ferry Tour,449,-15,-1.066,496,-15,null,0
"Kieffer, Maximilian",DP World Tour,450,0,-1.068,407,-7,null,0
"Walsh, Thomas",Korn Ferry Tour,451,-11,-1.082,474,-16,null,0
"Perez, Pat",LIV Golf,452,3,-1.085,null,0,null,0
"Schmidt, Ben",DP World Tour,453,3,-1.09,485,-2,null,0
"Ritchie, JC",Challenge Tour,454,4,-1.09,null,0,null,0
"Johnston, Ryggs",DP World Tour,455,4,-1.091,312,-7,null,0
"Kang, Kyungnam",Other Tours,456,4,-1.092,null,0,null,0
"Pereira, Mito",LIV Golf,457,-62,-1.094,null,0,null,0
"Tarren, Callum",PGA Tour,458,5,-1.096,457,-7,null,0
"Donald, Luke",DP World Tour,459,6,-1.102,null,0,null,0
"Onishi, Kaito",PGA Tour,460,15,-1.104,368,-2,null,0
"Forrest, Grant",DP World Tour,461,6,-1.106,261,-5,null,0
"Buckley, Hayden",PGA Tour,462,2,-1.11,373,-10,null,0
"Van Driel, Darius",DP World Tour,463,5,-1.113,291,-3,null,0
"Kang, Jeffrey",Korn Ferry Tour,464,0,-1.115,null,0,null,0
"Summy, Jase",Amateur Events,465,0,-1.115,null,0,null,0
"Lewis, Bryce",Other Tours,466,3,-1.118,null,0,null,0
"Byrd, Jonathan",PGA Tour,467,3,-1.125,null,0,null,0
"Ogiso, Takashi",Other Tours,468,3,-1.126,383,2,null,0
"Bacha, Carson",Amateur Events,469,0,-1.126,null,0,null,0
"Lee, Danny",LIV Golf,470,0,-1.133,null,0,null,0
"Rozo, Marcelo",Korn Ferry Tour,471,-17,-1.135,null,0,null,0
"Germishuys, Deon",DP World Tour,472,0,-1.136,326,-4,null,0
"Voke, Nick",Other Tours,473,1,-1.136,447,-5,null,0
"Crick, Brandon",Korn Ferry Tour,474,-1,-1.139,439,-18,null,0
"Ogletree, Andy",LIV Golf,475,-37,-1.148,null,0,null,0
"Creighton, Myles",Korn Ferry Tour,476,0,-1.148,400,0,null,0
"Khongwatmai, Phachara",Other Tours,477,-1,-1.15,386,-6,null,0
"Colton, Luke",Amateur Events,478,0,-1.152,null,0,null,0
"Takeyasu, Shunya",Other Tours,479,-2,-1.153,null,0,null,0
"Hugo, Jean",Other Tours,480,-2,-1.153,null,0,null,0
"Elvira, Manuel",DP World Tour,481,-1,-1.158,410,-3,null,0
"Williams, Robin",DP World Tour,482,0,-1.165,235,-1,null,0
"Werenski, Richy",Korn Ferry Tour,483,-32,-1.166,null,0,null,0
"Todd, Brendon",PGA Tour,484,-1,-1.168,160,-8,null,0
"La Sasso, Michael",Amateur Events,485,0,-1.175,null,0,null,0
"Merritt, Troy",PGA Tour,486,-1,-1.179,374,-2,null,0
"Ahlers, Jaco",Other Tours,487,-1,-1.181,404,-2,null,0
"Thomas, Rayhan",Korn Ferry Tour,488,0,-1.182,null,0,null,0
"Blaauw, Jacques",Other Tours,489,-2,-1.183,null,0,null,0
"Flavin, Patrick",Other Tours,490,0,-1.184,null,0,null,0
"Coody, Parker",PGA Tour,491,-34,-1.185,476,-24,null,0
"Creel, Joshua",Korn Ferry Tour,492,0,-1.189,null,0,null,0
"Broomhead, Jonothan",Other Tours,493,-4,-1.191,398,-2,null,0
"Senior, Jack",DP World Tour,494,-4,-1.192,430,-6,null,0
"Nabetani, Taichi",Other Tours,495,-4,-1.193,467,-6,null,0
"Fichardt, Darren",DP World Tour,496,-3,-1.194,389,-2,null,0
"McCarthy, Dan",Korn Ferry Tour,497,-3,-1.196,null,0,null,0
"Sato, Taihei",Other Tours,498,-3,-1.198,null,0,null,0
"Malnati, Peter",PGA Tour,499,-18,-1.199,176,-1,null,0
"Cook, Austin",PGA Tour,500,0,-1.199,500,0,null,0
